clock,website_events,server_events,PC1
2024-10-12 23:18:00,0.0,0.0,1309318352.8007717
2024-10-12 23:19:00,0.0,0.0,1309334524.6172223
2024-10-12 23:20:00,0.0,0.0,1309201824.4835625
2024-10-12 23:21:00,0.0,0.0,1309066615.9580898
2024-10-12 23:22:00,0.0,0.0,1309031021.1603918
2024-10-12 23:23:00,0.0,0.0,1308963270.8804173
2024-10-12 23:24:00,0.0,0.0,1308895649.062974
2024-10-12 23:25:00,0.0,0.0,1308915502.4094949
2024-10-12 23:26:00,0.0,0.0,1308944178.6834345
2024-10-12 23:27:00,0.0,0.0,1308869801.3338866
2024-10-12 23:28:00,0.0,0.0,1308984823.8155255
2024-10-12 23:29:00,0.0,0.0,1309176725.1306367
2024-10-12 23:30:00,0.0,0.0,1309139058.0411782
2024-10-12 23:31:00,0.0,0.0,1308991402.5393133
2024-10-12 23:32:00,0.0,0.0,1309081964.6322732
2024-10-12 23:33:00,13.0,0.0,1309030216.098422
2024-10-12 23:34:00,13.0,0.0,1309070308.5848436
2024-10-12 23:35:00,0.0,0.0,1309156845.655599
2024-10-12 23:36:00,0.0,0.0,1309193490.3451886
2024-10-12 23:37:00,0.0,0.0,1309237963.5409966
2024-10-12 23:38:00,0.0,0.0,1309285178.636434
2024-10-12 23:39:00,0.0,0.0,1309290037.3961668
2024-10-12 23:40:00,0.0,0.0,1309291947.4250093
2024-10-12 23:41:00,0.0,0.0,1309291011.4942088
2024-10-12 23:42:00,0.0,0.0,1309290863.6588817
2024-10-12 23:43:00,0.0,0.0,1309313326.9852657
2024-10-12 23:44:00,0.0,0.0,1309310895.1775265
2024-10-12 23:45:00,13.0,0.0,1309303643.2583618
2024-10-12 23:46:00,13.0,0.0,1309266425.1201525
2024-10-12 23:47:00,0.0,0.0,1309225988.243441
2024-10-12 23:48:00,0.0,0.0,1309190278.2195573
2024-10-12 23:49:00,0.0,0.0,1309128532.1386476
2024-10-12 23:50:00,0.0,0.0,1309168605.3064632
2024-10-12 23:51:00,0.0,0.0,1309181127.7232904
2024-10-12 23:52:00,0.0,0.0,1309173780.277011
2024-10-12 23:53:00,0.0,0.0,1309248085.191372
2024-10-12 23:54:00,0.0,0.0,1309215556.1033816
2024-10-12 23:55:00,0.0,0.0,1309199213.2238045
2024-10-12 23:56:00,0.0,0.0,1309231589.08082
2024-10-12 23:57:00,0.0,0.0,1309200348.234973
2024-10-12 23:58:00,0.0,0.0,1309297394.6080422
2024-10-12 23:59:00,0.0,0.0,1309286295.2445679
2024-10-13 00:00:00,0.0,0.0,1309367597.3467116
2024-10-13 00:01:00,0.0,0.0,1309329379.3205361
2024-10-13 00:02:00,0.0,0.0,1309403349.4622645
2024-10-13 00:03:00,0.0,0.0,1309413817.4433784
2024-10-13 00:04:00,0.0,0.0,1309381059.405435
2024-10-13 00:05:00,0.0,0.0,1309413963.7141132
2024-10-13 00:06:00,13.0,0.0,1309472348.9037437
2024-10-13 00:07:00,13.0,0.0,1309441359.8208284
2024-10-13 00:08:00,0.0,0.0,1309520012.4209442
2024-10-13 00:09:00,0.0,0.0,1309519585.8844204
2024-10-13 00:10:00,0.0,0.0,1309496250.1694155
2024-10-13 00:11:00,0.0,0.0,1309469194.5789008
2024-10-13 00:12:00,13.0,0.0,1309350260.0145931
2024-10-13 00:13:00,13.0,0.0,1309341897.6883307
2024-10-13 00:14:00,0.0,0.0,1309333191.5540075
2024-10-13 00:15:00,0.0,0.0,1309279306.0305958
2024-10-13 00:16:00,0.0,0.0,1309323426.7907796
2024-10-13 00:17:00,0.0,0.0,1309367417.5225682
2024-10-13 00:18:00,0.0,0.0,1309546131.8826175
2024-10-13 00:19:00,0.0,0.0,1309551570.3970575
2024-10-13 00:20:00,0.0,0.0,1309643900.8953338
2024-10-13 00:21:00,0.0,0.0,1309650923.574728
2024-10-13 00:22:00,0.0,0.0,1309659325.449006
2024-10-13 00:23:00,0.0,0.0,1310102923.0951176
2024-10-13 00:24:00,0.0,0.0,1310470597.03938
2024-10-13 00:25:00,0.0,0.0,1310644686.853322
2024-10-13 00:26:00,0.0,0.0,1310947143.1476736
2024-10-13 00:27:00,0.0,0.0,1310928183.2284565
2024-10-13 00:28:00,0.0,0.0,1311005274.1537476
2024-10-13 00:29:00,0.0,0.0,1310975038.6650834
2024-10-13 00:30:00,13.0,0.0,1310969065.2270293
2024-10-13 00:31:00,13.0,0.0,1310510009.298246
2024-10-13 00:32:00,0.0,0.0,1310079263.1646204
2024-10-13 00:33:00,0.0,0.0,1310004848.9390292
2024-10-13 00:34:00,0.0,0.0,1309690054.9780726
2024-10-13 00:35:00,0.0,0.0,1309665350.6478424
2024-10-13 00:36:00,13.0,0.0,1309651429.212142
2024-10-13 00:37:00,13.0,0.0,1309672520.9672885
2024-10-13 00:38:00,0.0,0.0,1309861681.0918455
2024-10-13 00:39:00,0.0,0.0,1310010622.671238
2024-10-13 00:40:00,0.0,0.0,1309912062.9756932
2024-10-13 00:41:00,0.0,0.0,1309879499.4084473
2024-10-13 00:42:00,13.0,0.0,1309812769.34058
2024-10-13 00:43:00,13.0,0.0,1309713202.2279453
2024-10-13 00:44:00,0.0,0.0,1309696880.5316725
2024-10-13 00:45:00,0.0,0.0,1310078545.9979415
2024-10-13 00:46:00,0.0,0.0,1310543951.586185
2024-10-13 00:47:00,0.0,0.0,1310668558.5936294
2024-10-13 00:48:00,0.0,0.0,1311067732.5365758
2024-10-13 00:49:00,0.0,0.0,1311159230.7829895
2024-10-13 00:50:00,0.0,0.0,1310671101.9181862
2024-10-13 00:51:00,0.0,0.0,1310277444.1772828
2024-10-13 00:52:00,0.0,0.0,1310182189.778778
2024-10-13 00:53:00,0.0,0.0,1309841443.7704139
2024-10-13 00:54:00,0.0,0.0,1309843299.989172
2024-10-13 00:55:00,0.0,0.0,1309853436.893825
2024-10-13 00:56:00,0.0,0.0,1309873350.0720015
2024-10-13 00:57:00,0.0,0.0,1309866461.8518052
2024-10-13 00:58:00,0.0,0.0,1309932448.7912874
2024-10-13 00:59:00,0.0,0.0,1309813420.9634137
2024-10-13 01:00:00,13.0,0.0,1309804252.1116185
2024-10-13 01:01:00,13.0,0.0,1309917153.2333093
2024-10-13 01:02:00,0.0,0.0,1309893576.891595
2024-10-13 01:03:00,0.0,0.0,1309641911.1144729
2024-10-13 01:04:00,0.0,0.0,1309696393.601253
2024-10-13 01:05:00,0.0,0.0,1309943427.4590006
2024-10-13 01:06:00,0.0,0.0,1309891020.7711692
2024-10-13 01:07:00,0.0,0.0,1310141316.3075423
2024-10-13 01:08:00,0.0,0.0,1310107795.435677
2024-10-13 01:09:00,0.0,0.0,1310131734.7418303
2024-10-13 01:10:00,0.0,0.0,1310159892.838142
2024-10-13 01:11:00,13.0,0.0,1309998700.710116
2024-10-13 01:12:00,13.0,0.0,1310015655.8080263
2024-10-13 01:13:00,0.0,0.0,1310109994.0259051
2024-10-13 01:14:00,0.0,0.0,1310018700.651722
2024-10-13 01:15:00,0.0,0.0,1310058791.2895193
2024-10-13 01:16:00,0.0,0.0,1310119366.8616457
2024-10-13 01:17:00,0.0,0.0,1310105324.4592834
2024-10-13 01:18:00,0.0,0.0,1310239890.9514923
2024-10-13 01:19:00,0.0,0.0,1310234762.7951803
2024-10-13 01:20:00,0.0,0.0,1310293935.208477
2024-10-13 01:21:00,0.0,0.0,1310331865.6888595
2024-10-13 01:22:00,10.0,0.0,1310222592.6063228
2024-10-13 01:23:00,10.0,0.0,1310155966.2916374
2024-10-13 01:23:00,13.0,0.0,1310207718.495687
2024-10-13 01:24:00,13.0,0.0,1310098190.1175327
2024-10-13 01:25:00,0.0,0.0,1310172362.4774094
2024-10-13 01:26:00,0.0,0.0,1310240326.5752587
2024-10-13 01:27:00,0.0,0.0,1310294623.0657487
2024-10-13 01:28:00,13.0,0.0,1310344630.4967818
2024-10-13 01:29:00,13.0,0.0,1310246112.099495
2024-10-13 01:30:00,0.0,0.0,1309924813.0518026
2024-10-13 01:31:00,0.0,0.0,1309949736.4943404
2024-10-13 01:32:00,0.0,0.0,1310150655.3384633
2024-10-13 01:33:00,0.0,0.0,1310111955.5623016
2024-10-13 01:34:00,13.0,0.0,1310316612.6562552
2024-10-13 01:35:00,13.0,0.0,1310410263.1218843
2024-10-13 01:36:00,0.0,0.0,1310526309.7080798
2024-10-13 01:37:00,0.0,0.0,1310606500.168808
2024-10-13 01:38:00,0.0,0.0,1310787466.2054086
2024-10-13 01:39:00,0.0,0.0,1310975451.3599634
2024-10-13 01:40:00,0.0,0.0,1310768012.832069
2024-10-13 01:41:00,0.0,0.0,1310717970.3966546
2024-10-13 01:42:00,0.0,0.0,1310747694.0731583
2024-10-13 01:43:00,0.0,0.0,1310728381.7115126
2024-10-13 01:44:00,0.0,0.0,1310734635.4910893
2024-10-13 01:45:00,0.0,0.0,1310657339.7294798
2024-10-13 01:46:00,0.0,0.0,1310647851.4907322
2024-10-13 01:47:00,0.0,0.0,1310602871.9256268
2024-10-13 01:48:00,0.0,0.0,1311499112.398199
2024-10-13 01:49:00,0.0,0.0,1312276813.0203586
2024-10-13 01:50:00,0.0,0.0,1312013543.8637009
2024-10-13 01:51:00,0.0,0.0,1311774492.6696196
2024-10-13 01:52:00,13.0,0.0,1311565981.6892214
2024-10-13 01:53:00,13.0,0.0,1311297743.5511322
2024-10-13 01:54:00,0.0,0.0,1311487564.491333
2024-10-13 01:55:00,0.0,0.0,1311799940.545012
2024-10-13 01:56:00,0.0,0.0,1311821173.7633963
2024-10-13 01:57:00,0.0,0.0,1312122502.5153203
2024-10-13 01:58:00,13.0,0.0,1312118574.6795654
2024-10-13 01:59:00,13.0,0.0,1311678347.572743
2024-10-13 02:00:00,0.0,0.0,1311245292.0551262
2024-10-13 02:01:00,0.0,0.0,1311132527.769578
2024-10-13 02:02:00,0.0,0.0,1310786921.9306707
2024-10-13 02:03:00,0.0,0.0,1310795255.0502763
2024-10-13 02:04:00,0.0,0.0,1310749894.7346964
2024-10-13 02:05:00,0.0,0.0,1310728851.5793705
2024-10-13 02:06:00,0.0,0.0,1310787609.5709624
2024-10-13 02:07:00,0.0,0.0,1310870420.8751407
2024-10-13 02:08:00,0.0,0.0,1310815001.5439215
2024-10-13 02:09:00,0.0,0.0,1310731951.1814594
2024-10-13 02:10:00,0.0,0.0,1310799975.4583154
2024-10-13 02:11:00,0.0,0.0,1310709424.9797578
2024-10-13 02:12:00,0.0,0.0,1310762320.6284065
2024-10-13 02:13:00,0.0,0.0,1311002255.8489952
2024-10-13 02:14:00,0.0,0.0,1310990665.910192
